product,version,platform,package,url
odbc-driver,1.3.4,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.3.4/release/mongoodbc.msi
odbc-driver,1.3.4,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.3.4/release/mongoodbc.tar.gz
odbc-driver,1.3.3,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.3.3/release/mongoodbc.msi
odbc-driver,1.3.3,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.3.3/release/mongoodbc.tar.gz
odbc-driver,1.3.2,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.3.2/release/mongoodbc.msi
odbc-driver,1.3.2,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.3.2/release/mongoodbc.tar.gz
odbc-driver,1.3.1,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.3.1/release/mongoodbc.msi
odbc-driver,1.3.1,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.3.1/release/mongoodbc.tar.gz
odbc-driver,1.3.0,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.3.0/release/mongoodbc.msi
odbc-driver,1.3.0,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.3.0/release/mongoodbc.tar.gz
odbc-driver,1.2.0,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.2.0/release/mongoodbc.msi
odbc-driver,1.2.0,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.2.0/release/mongoodbc.tar.gz
odbc-driver,1.1.0,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.1.0/release/mongoodbc.msi
odbc-driver,1.1.0,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.1.0/release/mongoodbc.tar.gz
odbc-driver,1.0.2,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.0.2/release/mongoodbc.msi
odbc-driver,1.0.2,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.0.2/release/mongoodbc.tar.gz
odbc-driver,1.0.1,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.0.1/release/mongoodbc.msi
odbc-driver,1.0.1,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.0.1/release/mongoodbc.tar.gz
odbc-driver,1.0.0,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/1.0.0/release/mongoodbc.msi
odbc-driver,1.0.0,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/1.0.0/release/mongoodbc.tar.gz
odbc-driver,0.1.4,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/0.1.4/release/mongoodbc.msi
odbc-driver,0.1.4,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/0.1.4/release/mongoodbc.tar.gz
odbc-driver,0.1.3,Windows,msi,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/windows/0.1.3/release/mongoodbc.msi
odbc-driver,0.1.3,Ubuntu 22.04 (x86_64),tgz,https://translators-connectors-releases.s3.amazonaws.com/mongosql-odbc-driver/ubuntu2204/0.1.3/release/mongoodbc.tar.gz
